,Unnamed: 0,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
0,1,ahmedabad,2021,Kia,Sonet,860000,30159,  Petrol  ,  Automatic,2021,Comprehensive,5,First Owner,118.35,998.0,18.2
1,2,ahmedabad,2015,Maruti,Swift,475000,35000,  Petrol  ,  Manual,2015,Comprehensive,5,First Owner,81.8,1197.0,20.4
2,3,ahmedabad,2019,Kia,Seltos,875000,54000,  Petrol  ,  Manual,2019,Expired,5,First Owner,113.43,1497.0,16.8
3,5,ahmedabad,2022,Hyundai,Grand,675000,18000,  Petrol  ,  Manual,2022,Comprehensive,5,First Owner,81.86,1197.0,20.7
4,6,ahmedabad,2019,Tata,Nexon,625000,37000,  Diesel  ,  Manual,2019,Expired,5,First Owner,108.5,1497.0,21.5
5,7,ahmedabad,2016,Maruti,Wagon,375000,45000,  Petrol  ,  Automatic,2017,Comprehensive,5,First Owner,67.0,998.0,20.51
6,8,ahmedabad,2021,Hyundai,Aura,725000,24000,  Petrol  ,  Automatic,2021,Expired,5,First Owner,81.86,1197.0,20.1
7,9,ahmedabad,2019,Toyota,Glanza,590000,42000,  Petrol  ,  Manual,2019,Expired,5,First Owner,81.8,1197.0,21.01
8,11,ahmedabad,2013,Maruti,Wagon,350000,18000,  Petrol  ,  Manual,2013,Comprehensive,5,First Owner,67.04,998.0,20.51
9,12,ahmedabad,2022,Mahindra,XUV300,790000,40000,  Diesel  ,  Manual,2022,Third Party,5,First Owner,115.05,1497.0,20.1
10,13,ahmedabad,2019,Maruti,Swift,575000,88000,  Petrol  ,  Automatic,2019,Expired,5,First Owner,81.8,1197.0,21.21
11,14,ahmedabad,2015,Hyundai,Grand,450000,27000,  Petrol  ,  Manual,2015,Expired,5,First Owner,82.0,1197.0,18.9
12,15,ahmedabad,2021,Hyundai,Grand,625000,39000,  Petrol  ,  Manual,2021,Comprehensive,5,First Owner,81.86,1197.0,20.7
13,16,ahmedabad,2020,Renault,Duster,750000,35000,  Petrol  ,  Manual,2020,Expired,5,First Owner,104.55,1498.0,16.42
14,17,ahmedabad,2020,Hyundai,Creta,1050000,55000,  Petrol  ,  Automatic,2020,Expired,5,First Owner,121.3,1591.0,14.8
15,18,ahmedabad,2019,Hyundai,Creta,990000,48000,  Petrol  ,  Automatic,2019,Comprehensive,5,Second Owner,121.3,1591.0,14.8
16,19,ahmedabad,2019,Hyundai,i20,650000,71000,  Petrol  ,  Manual,2019,Expired,5,First Owner,81.86,1197.0,18.6
17,20,ahmedabad,2022,Maruti,Wagon,525000,26000,  Petrol  ,  Manual,2022,Third Party,5,First Owner,67.05,998.0,21.79
18,21,ahmedabad,2016,Honda,City,550000,81000,  Petrol  ,  Manual,2016,Expired,5,First Owner,117.3,1497.0,17.8
19,22,ahmedabad,2013,Hyundai,Grand,360000,76000,  Diesel  ,  Manual,2013,Comprehensive,5,First Owner,70.0,1120.0,24.0
20,23,ahmedabad,2018,Maruti,Ignis,440000,81000,  Petrol  ,  Automatic,2018,Comprehensive,5,First Owner,81.8,1197.0,20.89
21,24,ahmedabad,2020,Honda,WR-V,625000,50000,  Petrol  ,  Manual,2020,Expired,5,First Owner,88.5,1199.0,16.5
22,25,ahmedabad,2015,Hyundai,i20,525000,79000,  Petrol  ,  Manual,2016,Expired,5,First Owner,81.83,1197.0,18.6
23,26,ahmedabad,2016,Hyundai,Grand,459000,36441,  Petrol  ,  Manual,2016,Comprehensive,5,First Owner,81.86,1197.0,18.9
24,27,ahmedabad,2014,Honda,City,475000,65000,  Petrol  ,  Manual,2014,Comprehensive,5,First Owner,117.3,1497.0,17.4
25,28,ahmedabad,2020,Hyundai,Grand,615000,52000,  Petrol  ,  Manual,2020,Comprehensive,5,First Owner,81.86,1197.0,20.7
26,30,ahmedabad,2019,Hyundai,Creta,1140000,19000,  Petrol  ,  Automatic,2019,Expired,5,First Owner,121.3,1591.0,14.8
27,31,ahmedabad,2015,Hyundai,Grand,395000,83000,  Petrol  ,  Manual,2015,Comprehensive,5,First Owner,82.0,1197.0,18.9
