Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2018 Maruti Celerio ZXI AMT BSIV,"₹4.50 Lakh
Compare","46,000 kms   •   Petrol   •   Automatic",Not Available,Not Available,ahmedabad
2021 Kia Sonet HTX Turbo iMT,"₹8.60 Lakh
Compare","30,159 kms   •   Petrol   •   Automatic","Registration Year
Mar 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
30,159 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
998 cc, Power
118.35 bhp, Transmission
Automatic, Drive Type
2WD, Mileage
18.2 kmpl, Fuel
Petrol",ahmedabad
2015 Maruti Swift LXI Option,"₹4.75 Lakh
Compare","35,000 kms   •   Petrol   •   Manual","Registration Year
May 2015, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
35,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2015","Engine
1197 cc, Power
81.80 bhp, Transmission
Manual, Mileage
20.4 kmpl, Fuel
Petrol, Length
3840mm",ahmedabad
2019 Kia Seltos HTK Plus G,"₹8.75 Lakh
Compare","54,000 kms   •   Petrol   •   Manual","Registration Year
Aug 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
54,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1497 cc, Power
113.43 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
16.8 kmpl, Fuel
Petrol",ahmedabad
2018 Maruti Swift AMT ZXI,"₹5.90 Lakh
Compare","70,000 kms   •   Petrol   •   Automatic",Not Available,Not Available,ahmedabad
2022 Hyundai Grand i10 Nios Sportz Dual Tone,"₹6.75 Lakh
Compare","18,000 kms   •   Petrol   •   Manual","Registration Year
Aug 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
18,000 Kms, RTO
Vadodara, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
20.7 kmpl, Fuel
Petrol, No. of Airbags
2",ahmedabad
2019 Tata Nexon 1.5 Revotorq XM,"₹6.25 Lakh
Compare","37,000 kms   •   Diesel   •   Manual","Registration Year
May 2019, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
37,000 Kms, RTO
Vadodara, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2019, Parking Sensors, Engine
1497 cc, Power
108.5 bhp, Transmission
Manual, Drive Type
FWD, Mileage
21.5 kmpl, Fuel
Diesel, Used cars in Ahmedabad in 5 Lakh to 8 Lakh, Used Diesel SUV cars in Ahmedabad, Used SUV cars in Ahmedabad, Used Tata cars in Ahmedabad, 2019 model & newer Tata cars","Engine
1497 cc, Power
108.5 bhp, Transmission
Manual, Drive Type
FWD, Mileage
21.5 kmpl, Fuel
Diesel",ahmedabad
2016 Maruti Wagon R AMT VXI,"₹3.75 Lakh
Compare","45,000 kms   •   Petrol   •   Automatic","Registration Year
Jan 2017, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
45,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2016","Engine
998 cc, Power
67 bhp, Transmission
Automatic, Mileage
20.51 kmpl, Fuel
Petrol, Length
3599mm",ahmedabad
2021 Hyundai Aura SX Plus AMT,"₹7.25 Lakh
Compare","24,000 kms   •   Petrol   •   Automatic","Registration Year
Nov 2021, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
24,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
1197 cc, Power
81.86 bhp, Transmission
Automatic, Mileage
20.1 kmpl, Fuel
Petrol, No. of Airbags
2",ahmedabad
2019 Toyota Glanza V,"₹5.90 Lakh
Compare","42,000 kms   •   Petrol   •   Manual","Registration Year
Aug 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
42,000 Kms, RTO
Valsad, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1197 cc, Power
81.80 bhp, Transmission
Manual, Mileage
21.01 kmpl, Fuel
Petrol, No. of Airbags
2",ahmedabad
2017 Honda WR-V i-DTEC VX,"₹6.50 Lakh
Compare","89,000 kms   •   Diesel   •   Manual",Not Available,Not Available,ahmedabad
2013 Maruti Wagon R Stingray VXI,"₹3.50 Lakh
Compare","18,000 kms   •   Petrol   •   Manual","Registration Year
Oct 2013, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
18,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Manual, Year of Manufacture
2013","Engine
998 cc, Power
67.04 bhp, Transmission
Manual, Mileage
20.51 kmpl, Fuel
Petrol, Length
3636mm",ahmedabad
2022 Mahindra XUV300 W4 Diesel BSVI,"₹7.90 Lakh
Compare","40,000 kms   •   Diesel   •   Manual","Registration Year
Jul 2022, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
40,000 Kms, RTO
Rajkot, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1497 cc, Power
115.05 bhp, Transmission
Manual, Mileage
20.1 kmpl, Fuel
Diesel, No. of Airbags
2",ahmedabad
2019 Maruti Swift AMT VXI,"₹5.75 Lakh
Compare","88,000 kms   •   Petrol   •   Automatic","Registration Year
Feb 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
88,000 Kms, RTO
Ahmedabad, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Automatic, Year of Manufacture
2019","Engine
1197 cc, Power
81.80 bhp, Transmission
Automatic, Mileage
21.21 kmpl, Fuel
Petrol, No. of Airbags
2",ahmedabad
