Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2022 Mercedes-Benz GLE 300d BSVI,"₹85 Lakh
Compare","22,000 kms   •   Diesel   •   Automatic","Registration Year
Oct 2022, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
22,000 Kms, RTO
Jind, Ownership
First Owner, Engine Displacement
1950 cc, Transmission
Automatic, Year of Manufacture
2022, 360 Degree Camera, Memory Function For Seats, Adjustable Headrest, Engine
1950 cc, Power
241.38 bhp, Transmission
Automatic, Top Speed
225 kmph, Drive Type
AWD, Fuel
Diesel, Used cars in Jaipur in 68 Lakh to 102 Lakh, Used Diesel SUV cars in Jaipur, Used SUV cars in Jaipur, Used Mercedes-Benz cars in Jaipur, 2022 model & newer Mercedes-Benz cars","Engine
1950 cc, Power
241.38 bhp, Transmission
Automatic, Top Speed
225 kmph, Drive Type
AWD, Fuel
Diesel",ajmer
2012 Mahindra XUV500 W8 2WD,"₹4.99 Lakh
Compare","1,06,000 kms   •   Diesel   •   Manual","Registration Year
Dec 2012, Insurance
Expired, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
1,06,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
2179 cc, Transmission
Manual, Year of Manufacture
2012","Engine
2179 cc, Power
140 bhp, Seating Capacity
7, Drive Type
FWD, Mileage
15.1 kmpl, Fuel
Diesel",ajmer
2020 Hyundai Aura S Diesel,"₹5.80 Lakh
Compare","53,000 kms   •   Diesel   •   Manual","Registration Year
Nov 2020, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
53,000 Kms, RTO
Jodhpur, Ownership
Second Owner, Engine Displacement
1186 cc, Transmission
Manual, Year of Manufacture
2020, Used cars in Ajmer in 5 Lakh to 7 Lakh, Used Diesel Sedan cars in Ajmer, Used Sedan cars in Ajmer, Used Hyundai cars in Ajmer, 2020 model & newer Hyundai cars","Engine
1186 cc, Power
73.97 bhp, Transmission
Manual, Mileage
25.35 kmpl, Fuel
Diesel, No. of Airbags
2",ajmer
2016 Maruti Baleno 1.2 Delta,"₹4.70 Lakh
Compare","73,000 kms   •   Petrol   •   Manual","Registration Year
Feb 2016, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
73,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1197 cc, Power
83.1 bhp, Transmission
Manual, Mileage
21.4 kmpl, Fuel
Petrol, Length
3995mm",ajmer
2018 Audi Q7 45 TDI Quattro Technology,"₹46 Lakh
Compare","94,000 kms   •   Diesel   •   Automatic","Registration Year
Mar 2018, Insurance
Comprehensive, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
94,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
2967 cc, Transmission
Automatic, Year of Manufacture
2018","Engine
2967 cc, Ground Clearance
205 mm, Power
245 bhp, Seating Capacity
7, Drive Type
AWD, Mileage
14.75 kmpl",ajmer
2017 Maruti Swift Dzire VDI,"₹6 Lakh
Compare","70,000 kms   •   Diesel   •   Manual","Registration Year
Mar 2017, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
70,000 Kms, RTO
beawar, Ownership
First Owner, Engine Displacement
1248 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1248 cc, Power
74 bhp, Transmission
Manual, Mileage
26.59 kmpl, Fuel
Diesel",ajmer
2017 Maruti Ertiga SHVS VDI,"₹7.50 Lakh
Compare","90,000 kms   •   Diesel   •   Manual","Registration Year
Jan 2017, Insurance
Comprehensive, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
90,000 Kms, RTO
Kishangarh, Ownership
First Owner, Engine Displacement
1248 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1248 cc, Power
88.5 bhp, Mileage
24.52 kmpl, Seating Capacity
7, Transmission
Manual, Fuel
Diesel",ajmer
2017 Renault KWID Climber 1.0 MT,"₹2.90 Lakh
Compare","55,000 kms   •   Petrol   •   Manual","Registration Year
May 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
55,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2017","Engine
999 cc, Power
67 bhp, Transmission
Manual, Mileage
23.01 kmpl, Fuel
Petrol, No. of Airbags
1",ajmer
2021 Mercedes-Benz A-Class Limousine A 200d,"₹35 Lakh
Compare","47,000 kms   •   Diesel   •   Automatic","Registration Year
Nov 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
47,000 Kms, RTO
bharatpur, Ownership
First Owner, Engine Displacement
1950 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
1950 cc, Power
160.92 bhp, Transmission
Automatic, Top Speed
230 kmph, Drive Type
FWD, Fuel
Diesel, Seating Capacity
5, Global NCAP Safety Rating
5 Star",ajmer
2016 Honda Jazz 1.2 VX i VTEC,"₹4.21 Lakh
Compare","95,000 kms   •   Petrol   •   Manual","Registration Year
Mar 2016, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
95,000 Kms, RTO
Alwar, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1199 cc, Power
88.7 bhp, Transmission
Manual, Mileage
18.7 kmpl, Fuel
Petrol, Length
3955mm",ajmer
