Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2023 MG Astor Super CVT,"₹11.45 Lakh
Compare","20,000 kms   •   Petrol   •   Automatic","Registration Year
2023, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
20,000 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Automatic, Year of Manufacture
2023","Engine
1498 cc, Power
108.49 bhp, Seating Capacity
5, Drive Type
2WD, Mileage
14.82 kmpl, Fuel
Petrol",bangalore
2021 Renault Triber RXZ,"₹6.96 Lakh
Compare","4,426 kms   •   Petrol   •   Manual","Registration Year
Feb 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
7 Seats, Kms Driven
4,426 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2021","Engine
999 cc, Power
71.01 bhp, Mileage
20 kmpl, Seating Capacity
7, Transmission
Manual, Fuel
Petrol, Global NCAP Safety Rating
4 Star",bangalore
2013 Maruti Alto 800 LXI,"₹2.50 Lakh
Compare","32,924 kms   •   Petrol   •   Manual","Registration Year
Aug 2013, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
32,924 Kms, RTO
Hospet, Ownership
First Owner, Engine Displacement
796 cc, Transmission
Manual, Year of Manufacture
2013","Engine
796 cc, Power
47.33 bhp, Transmission
Manual, Mileage
22.05 kmpl, Fuel
Petrol, No. of Airbags
1",bangalore
2015 Renault KWID RXT Optional,"₹2.84 Lakh
Compare","30,944 kms   •   Petrol   •   Manual","Registration Year
Oct 2015, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
30,944 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
799 cc, Transmission
Manual, Year of Manufacture
2015","Engine
799 cc, Power
53.3 bhp, Transmission
Manual, Mileage
25.17 kmpl, Fuel
Petrol, No. of Airbags
1",bangalore
2022 Toyota Urban cruiser Premium AT,"₹11.25 Lakh
Compare","22,022 kms   •   Petrol   •   Automatic","Registration Year
Jul 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
22,022 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
1462 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
1462 cc, Power
103.26 bhp, Transmission
Automatic, Mileage
18.76 kmpl, Fuel
Petrol, No. of Airbags
2",bangalore
2022 Toyota Innova Crysta 2.7 VX 7 STR,"₹19.73 Lakh
Compare","24,103 kms   •   Petrol   •   Manual","Registration Year
Nov 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
7 Seats, Kms Driven
24,103 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
2694 cc, Transmission
Manual, Year of Manufacture
2022","Engine
2694 cc, Power
163.60 bhp, Seating Capacity
7, Transmission
Manual, Fuel
Petrol, No. of Airbags
3",bangalore
2015 Skoda Rapid 1.5 TDI Ambition,"₹4.95 Lakh
Compare","70,000 kms   •   Diesel   •   Manual","Registration Year
Apr 2015, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
70,000 Kms, RTO
Chikodi, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2015","Engine
1498 cc, Power
103.52 bhp, Transmission
Manual, Mileage
21.14 kmpl, Fuel
Diesel",bangalore
2018 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,"₹7.67 Lakh
Compare","85,615 kms   •   Petrol   •   Automatic","Registration Year
Feb 2018, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
85,615 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2018","Engine
1497 cc, Ground Clearance
200mm, Power
121.36 bhp, Transmission
Automatic, Drive Type
FWD, Mileage
14.8 kmpl",bangalore
2023 Maruti Jimny Zeta AT,"₹13.95 Lakh
Compare","14,530 kms   •   Petrol   •   Automatic","Registration Year
Jun 2023, Insurance
Expired, Fuel Type
Petrol, Seats
4 Seats, Kms Driven
14,530 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
1462 cc, Transmission
Automatic, Year of Manufacture
2023","Engine
1462 cc, Ground Clearance
210 mm, Power
103 bhp, Seating Capacity
4, Drive Type
4WD, Mileage
16.39 kmpl",bangalore
2022 Hyundai i20 Asta Opt Turbo DCT BSVI,"₹10.36 Lakh
Compare","34,860 kms   •   Petrol   •   Automatic","Registration Year
Feb 2022, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
34,860 Kms, RTO
Bangalore, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
998 cc, Power
118.41 bhp, Transmission
Automatic, Mileage
20.28 kmpl, Fuel
Petrol, No. of Airbags
6",bangalore
