Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2023 Mercedes-Benz A-Class Limousine A 200,"₹39.50 Lakh
Compare","10,000 kms   •   Petrol   •   Automatic","Registration Year
2023, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
10,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
1332 cc, Transmission
Automatic, Year of Manufacture
2023","Engine
1332 cc, Power
160.92 bhp, Transmission
Automatic, Top Speed
230 kmph, Drive Type
FWD, Fuel
Petrol, Seating Capacity
5, Global NCAP Safety Rating
5 Star",chandigarh
2022 Kia Seltos HTK Plus iMT,"₹10.30 Lakh
Compare","33,068 kms   •   Petrol   •   Manual","Registration Year
Feb 2022, Insurance
Third Party, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
33,068 Kms, RTO
Mukerian, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1497 cc, Power
113.43 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
16.8 kmpl, Fuel
Petrol",chandigarh
2016 Maruti Celerio VXI AT,"₹4.75 Lakh
Compare","51,000 kms   •   Petrol   •   Automatic","Registration Year
Jan 2017, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
51,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2016","Engine
998 cc, Power
67.04 bhp, Transmission
Automatic, Mileage
23.1 kmpl, Fuel
Petrol, Length
3715mm",chandigarh
2021 Ford Ecosport Titanium Diesel,"₹7.34 Lakh
Compare","54,858 kms   •   Diesel   •   Manual","Registration Year
Apr 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
54,858 Kms, RTO
Jalandhar, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1498 cc, Power
99.23 bhp, Transmission
Manual, Drive Type
FWD, Mileage
21.7 kmpl, Fuel
Diesel",chandigarh
2016 Hyundai i20 Active 1.2,"₹5.50 Lakh
Compare","41,000 kms   •   Petrol   •   Manual","Registration Year
2016, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
41,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
17.19 kmpl, Fuel
Petrol, Length
3995mm",chandigarh
2018 Maruti Baleno 1.2 Delta,"₹5.03 Lakh
Compare","43,163 kms   •   Petrol   •   Manual","Registration Year
Jul 2018, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
43,163 Kms, RTO
Jalandhar, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2018","Engine
1197 cc, Power
83.1 bhp, Transmission
Manual, Mileage
21.4 kmpl, Fuel
Petrol, Length
3995mm",chandigarh
2021 Renault Triber RXZ,"₹5.45 Lakh
Compare","17,170 kms   •   Petrol   •   Manual","Registration Year
Mar 2022, Insurance
Third Party, Fuel Type
Petrol, Seats
7 Seats, Kms Driven
17,170 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2021","Engine
999 cc, Power
71.01 bhp, Mileage
20 kmpl, Seating Capacity
7, Transmission
Manual, Fuel
Petrol, Global NCAP Safety Rating
4 Star",chandigarh
2022 Volkswagen Virtus Comfortline BSVI,"₹9.07 Lakh
Compare","26,696 kms   •   Petrol   •   Manual","Registration Year
Dec 2022, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
26,696 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2022","Engine
999 cc, Power
113.98 bhp, Transmission
Manual, Mileage
19.4 kmpl, Fuel
Petrol, No. of Airbags
2, Global NCAP Safety Rating
5 Star",chandigarh
2017 Toyota Fortuner 2.8 4WD AT BSIV,"₹22 Lakh
Compare","1,60,000 kms   •   Diesel   •   Automatic","Registration Year
2017, Insurance
Expired, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
1,60,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
2755 cc, Transmission
Automatic, Year of Manufacture
2017","Engine
2755 cc, Ground Clearance
220mm, Power
174.5 bhp, Seating Capacity
7, Drive Type
4WD, Mileage
15.04 kmpl",chandigarh
2022 Volkswagen Taigun 1.0 Highline,"₹10.04 Lakh
Compare","45,958 kms   •   Petrol   •   Manual","Registration Year
Aug 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
45,958 Kms, RTO
Ludhiana, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2022","Engine
999 cc, Ground Clearance
188 mm, Power
114 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
19.2 kmpl",chandigarh
2022 Tata Tigor 1.2 Revotron XZ,"₹6.68 Lakh
Compare","57,309 kms   •   Petrol   •   Manual",Not Available,Not Available,chandigarh
2016 BMW 3 Series 320d,"₹11.45 Lakh
Compare","71,000 kms   •   Diesel   •   Automatic","Registration Year
Sept 2016, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
71,000 Kms, RTO
Ludhiana, Ownership
First Owner, Engine Displacement
1995 cc, Transmission
Automatic, Year of Manufacture
2016","Engine
1995 cc, Power
190 bhp, Transmission
Automatic, Top Speed
230 kmph, Drive Type
RWD, Fuel
Diesel, Seating Capacity
5",chandigarh
2016 Toyota Innova Crysta 2.4 G MT 8S BSIV,"₹11.05 Lakh
Compare","1,85,000 kms   •   Diesel   •   Manual","Registration Year
2016, Insurance
Expired, Fuel Type
Diesel, Seats
8 Seats, Kms Driven
1,85,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
2393 cc, Transmission
Manual, Year of Manufacture
2016","Engine
2393 cc, Power
147.8 bhp, Seating Capacity
7, Transmission
Manual, Fuel
Diesel",chandigarh
2019 Tata Harrier XT BSIV,"₹9.45 Lakh
Compare","59,080 kms   •   Diesel   •   Manual","Registration Year
Dec 2019, Insurance
Zero Dep, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
59,080 Kms, RTO
Ludhiana, Ownership
First Owner, Engine Displacement
1956 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1956 cc, Ground Clearance
205 mm, Power
138.1 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
17 kmpl",chandigarh
2011 Mitsubishi Montero 3.2 GLS,"₹9.65 Lakh
Compare","1,40,000 kms   •   Diesel   •   Manual","Registration Year
Nov 2011, Insurance
Expired, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
1,40,000 Kms, RTO
aluva, Ownership
Fourth Owner, Engine Displacement
3200 cc, Transmission
Manual, Year of Manufacture
2011","Engine
3200 cc, Ground Clearance
235mm, Power
199.3 bhp, Seating Capacity
7, Drive Type
4WD, Mileage
11.56 kmpl",chandigarh
2014 Audi A6 2.0 TDI Premium Plus,"₹16 Lakh
Compare","56,000 kms   •   Diesel   •   Automatic","Registration Year
Sept 2014, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
56,000 Kms, RTO
Noida, Ownership
First Owner, Engine Displacement
1968 cc, Transmission
Automatic, Year of Manufacture
2014","Engine
1968 cc, Power
174.33 bhp, Transmission
Automatic, Top Speed
222 kmph, Drive Type
FWD, Fuel
Diesel, Seating Capacity
5",chandigarh
2021 Maruti S Cross Zeta AT,"₹7.40 Lakh
Compare","60,000 kms   •   Petrol   •   Automatic","Registration Year
2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
60,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
1462 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
1462 cc, Power
103.25 bhp, Transmission
Automatic, Drive Type
FWD, Mileage
18.43 kmpl, Fuel
Petrol",chandigarh
2018 BMW 5 Series 520d Luxury Line,"₹30.75 Lakh
Compare","81,000 kms   •   Diesel   •   Automatic","Registration Year
Dec 2018, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
81,000 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
1995 cc, Transmission
Automatic, Year of Manufacture
2018","Engine
1995 cc, Power
187.74 bhp, Transmission
Automatic, Top Speed
235 kmph, Drive Type
RWD, Fuel
Diesel",chandigarh
2016 Honda City i VTEC CVT VX,"₹6.10 Lakh
Compare","1,17,524 kms   •   Petrol   •   Automatic","Registration Year
Mar 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
1,17,524 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2016","Engine
1497 cc, Power
117.3 bhp, Transmission
Automatic, Mileage
18 kmpl, Fuel
Petrol",chandigarh
2022 Maruti Celerio ZXI Plus,"₹5.36 Lakh
Compare","26,990 kms   •   Petrol   •   Manual","Registration Year
Oct 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
26,990 Kms, RTO
Chandigarh, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Manual, Year of Manufacture
2022","Engine
998 cc, Power
65.71 bhp, Transmission
Manual, Mileage
24.97 kmpl, Fuel
Petrol, Boot Space
313 Litres",chandigarh
2017 Mini Cooper Clubman Cooper S,"₹26.25 Lakh
Compare","22,000 kms   •   Petrol   •   Automatic","Registration Year
Jul 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
22,000 Kms, RTO
New Delhi, Ownership
Second Owner, Engine Displacement
1998 cc, Transmission
Automatic, Year of Manufacture
2017","Engine
1998 cc, Power
192 bhp, Transmission
Automatic, Mileage
13.79 kmpl, Fuel
Petrol, No. of Airbags
2",chandigarh
