Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2011 Hyundai i20 1.2 Sportz,"₹2 Lakh
Compare","80,000 kms   •   Petrol   •   Manual","Registration Year
2011, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
80,000 Kms, RTO
Chennai, Ownership
Third Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2011","Engine
1197 cc, Transmission
Manual, Mileage
17 kmpl, Fuel
Petrol, Length
3940 mm",chennai
2014 Honda City i VTEC CVT SV,"₹5.14 Lakh
Compare","77,259 kms   •   Petrol   •   Automatic","Registration Year
Oct 2014, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
77,259 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2014","Engine
1497 cc, Power
117.3 bhp, Transmission
Automatic, Mileage
18 kmpl, Fuel
Petrol",chennai
2017 Honda City ZX CVT,"₹8.25 Lakh
Compare","41,000 kms   •   Petrol   •   Automatic","Registration Year
Jul 2017, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
41,000 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2017","Engine
1497 cc, Power
117.6 bhp, Transmission
Automatic, Mileage
17.4 kmpl, Fuel
Petrol, No. of Airbags
6",chennai
2018 Honda Jazz VX CVT,"₹6.70 Lakh
Compare","4,500 kms   •   Petrol   •   Automatic","Registration Year
Dec 2018, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
4,500 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Automatic, Year of Manufacture
2018","Engine
1199 cc, Power
88.7 bhp, Transmission
Automatic, Mileage
18.2 kmpl, Fuel
Petrol, No. of Airbags
2",chennai
2023 Tata Tiago XZ Plus CNG,"₹8.20 Lakh
Compare","2,900 kms   •   CNG   •   Manual","Registration Year
2024, Insurance
Zero Dep, Fuel Type
CNG, Seats
5 Seats, Kms Driven
2,900 Kms, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2023","Engine
1199 cc, Power
72.41 bhp, Transmission
Manual, Mileage
26.49 km/kg, Fuel
CNG, No. of Airbags
2, Global NCAP Safety Rating
4 Star",chennai
2020 Maruti Ertiga ZXI Plus,"₹9.50 Lakh
Compare","58,586 kms   •   Petrol   •   Manual","Registration Year
Nov 2020, Insurance
Comprehensive, Fuel Type
Petrol, Seats
7 Seats, Kms Driven
58,586 Kms, RTO
Poonamallee, Ownership
First Owner, Engine Displacement
1462 cc, Transmission
Manual, Year of Manufacture
2020","Engine
1462 cc, Power
103.26 bhp, Mileage
19.01 kmpl, Seating Capacity
7, Transmission
Manual, Fuel
Petrol",chennai
2022 Tata Nexon 1.2 Revotron XM,"₹8.20 Lakh
Compare","43,206 kms   •   Petrol   •   Manual","Registration Year
Oct 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
43,206 Kms, RTO
Poonamallee, Ownership
First Owner, Engine Displacement
1198 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1198 cc, Power
108.5 bhp, Transmission
Manual, Drive Type
FWD, Mileage
17 kmpl, Fuel
Petrol",chennai
2021 Tata Harrier XZ Plus BSVI,"₹16.20 Lakh
Compare","11,000 kms   •   Diesel   •   Manual","Registration Year
Oct 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
11,000 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1956 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1956 cc, Power
167.67 bhp, Seating Capacity
5, Mileage
16.35 kmpl, Fuel
Diesel, No. of Airbags
6",chennai
2021 Kia Seltos HTE G,"₹9.70 Lakh
Compare","40,000 kms   •   Petrol   •   Manual","Registration Year
2021, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
40,000 Kms, RTO
Chennai, Ownership
Second Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1497 cc, Power
113.43 bhp, Transmission
Manual, Drive Type
FWD, Mileage
16.8 kmpl, Fuel
Petrol",chennai
2017 Hyundai i20 Asta 1.2,"₹5.49 Lakh
Compare","81,870 kms   •   Petrol   •   Manual","Registration Year
Jun 2017, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
81,870 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1197 cc, Power
81.83 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, Length
3985mm",chennai
2019 Kia Seltos GTX Plus DCT,"₹10.69 Lakh
Compare","46,956 kms   •   Petrol   •   Automatic","Registration Year
Oct 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
46,956 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1353 cc, Transmission
Automatic, Year of Manufacture
2019","Engine
1353 cc, Power
138.08 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
16.5 kmpl, Fuel
Petrol",chennai
2020 Hyundai i20 Sportz Plus,"₹5.79 Lakh
Compare","72,000 kms   •   Petrol   •   Manual","Registration Year
Oct 2020, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
72,000 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2020","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, No. of Airbags
2",chennai
2022 Hyundai Alcazar Signature (O) Diesel AT BSVI,"₹18.50 Lakh
Compare","20,000 kms   •   Diesel   •   Automatic","Registration Year
2022, Insurance
Expired, Fuel Type
Diesel, Seats
6 Seats, Kms Driven
20,000 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
1493 cc, Power
113.98 bhp, Seating Capacity
7, Mileage
18.1 kmpl, Fuel
Diesel, No. of Airbags
6",chennai
2018 Honda WR-V i-VTEC VX,"₹6.05 Lakh
Compare","63,799 kms   •   Petrol   •   Manual","Registration Year
Jul 2018, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
63,799 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2018","Engine
1199 cc, Ground Clearance
188mm, Power
88.7 bhp, Transmission
Manual, Drive Type
FWD, Mileage
17.5 kmpl",chennai
2013 Volkswagen Polo Highline Breeze,"₹5.90 Lakh
Compare","89,000 kms   •   Petrol   •   Manual","Registration Year
May 2013, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
89,000 Kms, RTO
Chennai, Ownership
Fourth Owner, Engine Displacement
1198 cc, Transmission
Manual, Year of Manufacture
2013","Engine
1198 cc, Transmission
Manual, Mileage
17 kmpl, Fuel
Petrol, Length
3,970 mm",chennai
2017 Hyundai i20 Asta 1.2,"₹5.48 Lakh
Compare","43,870 kms   •   Petrol   •   Manual","Registration Year
Nov 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
43,870 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1197 cc, Power
81.83 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, Length
3985mm",chennai
2022 Volkswagen Virtus Highline AT BSVI,"₹14.25 Lakh
Compare","20,000 kms   •   Petrol   •   Automatic","Registration Year
2022, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
20,000 Kms, RTO
Madurai, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
999 cc, Power
113.98 bhp, Transmission
Automatic, Mileage
18.12 kmpl, Fuel
Petrol, No. of Airbags
2",chennai
2019 Hyundai Venue SX Plus Turbo DCT BSIV,"₹8.33 Lakh
Compare","39,538 kms   •   Petrol   •   Automatic","Registration Year
Aug 2019, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
39,538 Kms, RTO
Poonamallee, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2019","Engine
998 cc, Power
118.35 bhp, Transmission
Automatic, Drive Type
FWD, Mileage
18.15 kmpl, Fuel
Petrol",chennai
2016 Hyundai i20 Sportz 1.2,"₹4.91 Lakh
Compare","38,474 kms   •   Petrol   •   Manual","Registration Year
Jun 2016, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
38,474 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1197 cc, Power
81.83 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, Length
3985mm",chennai
2019 Maruti Baleno 1.2 CVT Alpha,"₹6.91 Lakh
Compare","17,822 kms   •   Petrol   •   Automatic","Registration Year
Dec 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
17,822 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Automatic, Year of Manufacture
2019","Engine
1197 cc, Power
83.1 bhp, Transmission
Automatic, Mileage
21.4 kmpl, Fuel
Petrol, Length
3995mm",chennai
2020 Kia Seltos Anniversary Edition IVT,"₹16.90 Lakh
Compare","50,000 kms   •   Petrol   •   Automatic","Registration Year
2020, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
50,000 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2020","Engine
1497 cc, Power
113.4 bhp, Seating Capacity
5, Drive Type
2WD, Mileage
16.8 kmpl, Fuel
Petrol",chennai
