Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2023 BMW 3 Series Gran Limousine 320Ld M Sport,"₹65 Lakh
Compare","1,623 kms   •   Diesel   •   Automatic","Registration Year
Feb 2024, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
1,623 Kms, RTO
Coimbatore, Ownership
First Owner, Engine Displacement
1995 cc, Transmission
Automatic, Year of Manufacture
2023","Engine
1995 cc, Power
187.74 bhp, Transmission
Automatic, Top Speed
235 kmph, Drive Type
RWD, Fuel
Diesel",coimbatore
2021 Maruti S-Presso VXI Plus 2019-2022,"₹4.10 Lakh
Compare","34,244 kms   •   Petrol   •   Manual","Registration Year
Nov 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
34,244 Kms, RTO
Erode, Ownership
Second Owner, Engine Displacement
998 cc, Transmission
Manual, Year of Manufacture
2021","Engine
998 cc, Power
65.71 bhp, Transmission
Manual, Mileage
21.7 kmpl, Fuel
Petrol, No. of Airbags
2",coimbatore
2020 Tata Nexon 1.2 Revotron XMA,"₹6.78 Lakh
Compare","15,348 kms   •   Petrol   •   Automatic","Registration Year
Aug 2020, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
15,348 Kms, RTO
Krishnagiri, Ownership
Third Owner, Engine Displacement
1198 cc, Transmission
Automatic, Year of Manufacture
2020","Engine
1198 cc, Power
108.5 bhp, Transmission
Automatic, Drive Type
FWD, Mileage
17 kmpl, Fuel
Petrol",coimbatore
2022 Tata Altroz XM plus BSVI,"₹6.46 Lakh
Compare","18,979 kms   •   Petrol   •   Manual","Registration Year
May 2022, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
18,979 Kms, RTO
red hills, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1199 cc, Power
86.83 bhp, Transmission
Manual, Mileage
19.33 kmpl, Fuel
Petrol, No. of Airbags
2",coimbatore
2021 Kia Seltos HTK G,"₹9.74 Lakh
Compare","19,240 kms   •   Petrol   •   Manual","Registration Year
Feb 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
19,240 Kms, RTO
Madurai, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1497 cc, Power
113.43 bhp, Transmission
Manual, Drive Type
FWD, Mileage
16.8 kmpl, Fuel
Petrol",coimbatore
2013 Ford Figo Diesel Titanium,"₹3.25 Lakh
Compare","1,22,312 kms   •   Diesel   •   Manual","Registration Year
Apr 2013, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
1,22,312 Kms, RTO
Coimbatore, Ownership
First Owner, Engine Displacement
1399 cc, Transmission
Manual, Year of Manufacture
2013","Engine
1399 cc, Power
68.05 bhp, Transmission
Manual, Mileage
20 kmpl, Fuel
Diesel, Length
3795mm",coimbatore
2023 Honda City ZX,"₹15.90 Lakh
Compare","7,500 kms   •   Petrol   •   Manual","Registration Year
Feb 2023, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
7,500 Kms, RTO
Salem, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2023","Engine
1498 cc, Power
119.35 bhp, Transmission
Manual, Mileage
17.8 kmpl, Fuel
Petrol, Boot Space
506 Litres",coimbatore
2022 Kia Seltos HTK G,"₹10.70 Lakh
Compare","28,934 kms   •   Petrol   •   Manual","Registration Year
Apr 2022, Insurance
Zero Dep, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
28,934 Kms, RTO
Srirangam, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1497 cc, Power
113.43 bhp, Transmission
Manual, Drive Type
FWD, Mileage
16.8 kmpl, Fuel
Petrol",coimbatore
2022 Kia Seltos GTX Plus Diesel AT,"₹17.75 Lakh
Compare","57,802 kms   •   Diesel   •   Automatic","Registration Year
Nov 2022, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
57,802 Kms, RTO
Tiruppur, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
1493 cc, Power
113.43 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
18 kmpl, Fuel
Diesel",coimbatore
2021 Kia Seltos GTX Plus Diesel AT,"₹16.90 Lakh
Compare","88,905 kms   •   Diesel   •   Automatic","Registration Year
May 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
88,905 Kms, RTO
Coimbatore, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
1493 cc, Power
113.43 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
18 kmpl, Fuel
Diesel",coimbatore
2016 Land Rover Discovery Sport SD4 HSE Luxury,"₹38.50 Lakh
Compare","71,050 kms   •   Diesel   •   Automatic","Registration Year
Jun 2017, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
71,050 Kms, RTO
Karur, Ownership
First Owner, Engine Displacement
2179 cc, Transmission
Automatic, Year of Manufacture
2016","Engine
2179 cc, Power
187.7 bhp, Transmission
Automatic, Top Speed
188 kmph, Drive Type
4WD, Fuel
Diesel",coimbatore
2022 Volkswagen Taigun 1.0 TSI Highline BSVI,"₹10.65 Lakh
Compare","67,267 kms   •   Petrol   •   Manual","Registration Year
Oct 2022, Insurance
Third Party, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
67,267 Kms, RTO
Coimbatore, Ownership
First Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2022","Engine
999 cc, Ground Clearance
188, Power
113.98 bhp, Seating Capacity
5, Mileage
20.08 kmpl, Fuel
Petrol",coimbatore
2021 MG Hector Super MT,"₹11.85 Lakh
Compare","65,624 kms   •   Petrol   •   Manual","Registration Year
Apr 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
65,624 Kms, RTO
Melur, Ownership
First Owner, Engine Displacement
1451 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1451 cc, Ground Clearance
192, Power
141 bhp, Seating Capacity
5, Drive Type
FWD, Fuel
Petrol",coimbatore
2020 Hyundai Creta SX Opt IVT BSVI,"₹14.50 Lakh
Compare","29,800 kms   •   Petrol   •   Automatic","Registration Year
Mar 2024, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
29,800 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Automatic, Year of Manufacture
2020","Engine
1497 cc, Power
113.18 bhp, Seating Capacity
5, Mileage
14 kmpl, Fuel
Petrol, No. of Airbags
6",coimbatore
2021 Hyundai i20 Asta Turbo DCT,"₹8.82 Lakh
Compare","51,818 kms   •   Petrol   •   Automatic","Registration Year
Jan 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
51,818 Kms, RTO
Melur, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
998 cc, Power
118.36 bhp, Transmission
Automatic, Mileage
20.28 kmpl, Fuel
Petrol, No. of Airbags
2",coimbatore
2012 Mahindra Bolero SLX,"₹5.70 Lakh
Compare","1,69,500 kms   •   Diesel   •   Manual","Registration Year
Mar 2012, Insurance
Comprehensive, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
1,69,500 Kms, RTO
mettupalayam, Ownership
First Owner, Engine Displacement
2523 cc, Transmission
Manual, Year of Manufacture
2012","Engine
2523 cc, Ground Clearance
180mm, Power
62.1 bhp, Transmission
Manual, Drive Type
RWD, Mileage
15.96 kmpl",coimbatore
2019 Honda City i-VTEC V,"₹9.80 Lakh
Compare","23,222 kms   •   Petrol   •   Manual","Registration Year
May 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
23,222 Kms, RTO
Coimbatore, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1497 cc, Power
117.6 bhp, Transmission
Manual, Mileage
17.4 kmpl, Fuel
Petrol, No. of Airbags
2",coimbatore
2023 Tata Nexon Pure S Diesel,"₹10.90 Lakh
Compare","20,640 kms   •   Diesel   •   Manual","Registration Year
Dec 2023, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
20,640 Kms, RTO
Sulur, Ownership
First Owner, Engine Displacement
1497 cc, Transmission
Manual, Year of Manufacture
2023","Engine
1497 cc, Ground Clearance
208 mm, Power
113.31 bhp, Transmission
Manual, Drive Type
FWD, Mileage
23.23 kmpl",coimbatore
2017 BMW X5 xDrive 30d Expedition,"₹42 Lakh
Compare","60,603 kms   •   Diesel   •   Automatic","Registration Year
Jul 2017, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
60,603 Kms, RTO
Chennai, Ownership
First Owner, Engine Displacement
2993 cc, Transmission
Automatic, Year of Manufacture
2017","Engine
2993 cc, Power
258 bhp, Transmission
Automatic, Top Speed
230 kmph, Drive Type
4WD, Fuel
Diesel",coimbatore
2022 Mahindra Bolero Neo N10 BSVI,"₹10.50 Lakh
Compare","27,536 kms   •   Diesel   •   Manual","Registration Year
Jun 2022, Insurance
Expired, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
27,536 Kms, RTO
Krishnagiri, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Manual, Year of Manufacture
2022, Parking Sensors, Cruise Control, Engine
1493 cc, Ground Clearance
180mm, Power
100 bhp, Transmission
Manual, Drive Type
RWD(with MTT), Mileage
17.29 kmpl, Used cars in Coimbatore in 9 Lakh to 13 Lakh, Used Diesel SUV cars in Coimbatore, Used SUV cars in Coimbatore, Used Mahindra cars in Coimbatore, 2022 model & newer Mahindra cars","Engine
1493 cc, Ground Clearance
180mm, Power
100 bhp, Transmission
Manual, Drive Type
RWD(with MTT), Mileage
17.29 kmpl",coimbatore
