Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2018 Maruti S Cross Zeta DDiS 200 SH,"₹8.35 Lakh
Compare","92,650 kms   •   Diesel   •   Manual",Not Available,Not Available,hyderabad
2012 Maruti Wagon R LXI,"₹2.65 Lakh
Compare","83,508 kms   •   Petrol   •   Manual","Registration Year
Jul 2012, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
83,508 Kms, RTO
Ranga reddy, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Manual, Year of Manufacture
2012","Engine
998 cc, Power
67.05 bhp, Transmission
Manual, Mileage
21.79 kmpl, Fuel
Petrol, No. of Airbags
1",hyderabad
2016 Maruti Alto K10 VXI Optional,"₹2.60 Lakh
Compare","83,000 kms   •   Petrol   •   Manual","Registration Year
Feb 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
83,000 Kms, RTO
Ranga reddy, Ownership
First Owner, Engine Displacement
998 cc, Transmission
Manual, Year of Manufacture
2016, Keyless Entry, Central Locking, Air Conditioner, Digital Odometer, Engine
998 cc, Power
67.05 bhp, Transmission
Manual, Mileage
23.95 kmpl, Fuel
Petrol, No. of Airbags
1, Used cars in Hyderabad in 3 Lakh to 4 Lakh, Used Petrol Hatchback cars in Hyderabad, Used Hatchback cars in Hyderabad, Used Maruti cars in Hyderabad, 2016 model & newer Maruti cars","Engine
998 cc, Power
67.05 bhp, Transmission
Manual, Mileage
23.95 kmpl, Fuel
Petrol, No. of Airbags
1",hyderabad
2022 Maruti Baleno Alpha,"₹8 Lakh
Compare","86,684 kms   •   Petrol   •   Manual","Registration Year
Mar 2023, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
86,684 Kms, RTO
Ranga reddy, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1197 cc, Power
81.80 bhp, Transmission
Manual, Mileage
21.01 kmpl, Fuel
Petrol, No. of Airbags
2",hyderabad
2019 Ford Ecosport 1.5 Diesel Titanium BSIV,"₹7.95 Lakh
Compare","1,28,542 kms   •   Diesel   •   Manual","Registration Year
Feb 2020, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
1,28,542 Kms, RTO
Ranga reddy, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2019, Automatic Climate Control, Parking Sensors, Engine
1498 cc, Ground Clearance
200mm, Power
98.96 bhp, Transmission
Manual, Drive Type
FWD, Mileage
23 kmpl, Used cars in Hyderabad in 7 Lakh to 10 Lakh, Used Diesel SUV cars in Hyderabad, Used SUV cars in Hyderabad, Used Ford cars in Hyderabad, 2019 model & newer Ford cars","Engine
1498 cc, Ground Clearance
200mm, Power
98.96 bhp, Transmission
Manual, Drive Type
FWD, Mileage
23 kmpl",hyderabad
2013 Audi A4 2.0 TDI Multitronic,"₹9.85 Lakh
Compare","92,150 kms   •   Diesel   •   Automatic","Registration Year
Feb 2014, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
92,150 Kms, RTO
ongole, Ownership
Second Owner, Engine Displacement
1968 cc, Transmission
Automatic, Year of Manufacture
2013, Used cars in Hyderabad in 8 Lakh to 12 Lakh, Used Diesel Sedan cars in Hyderabad, Used Sedan cars in Hyderabad, Used Audi cars in Hyderabad, 2013 model & newer Audi cars","Engine
1968 cc, Transmission
Automatic, Mileage
16.55 kmpl, Fuel
Diesel",hyderabad
2015 Maruti Ertiga SHVS VDI,"₹5.60 Lakh
Compare","1,83,194 kms   •   Diesel   •   Manual","Registration Year
Jan 2016, Insurance
Expired, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
1,83,194 Kms, RTO
Mahbubnagar, Ownership
Second Owner, Engine Displacement
1248 cc, Transmission
Manual, Year of Manufacture
2015","Engine
1248 cc, Power
88.5 bhp, Mileage
24.52 kmpl, Seating Capacity
7, Transmission
Manual, Fuel
Diesel",hyderabad
2018 Maruti Swift Dzire VXI 1.2,"₹5.95 Lakh
Compare","71,573 kms   •   Petrol   •   Manual","Registration Year
Feb 2019, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
71,573 Kms, RTO
Hyderabad, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2018","Engine
1197 cc, Power
81.80 bhp, Transmission
Manual, Mileage
21.21 kmpl, Fuel
Petrol, No. of Airbags
2",hyderabad
2016 Maruti Swift VDI BSIV,"₹5.30 Lakh
Compare","81,562 kms   •   Diesel   •   Manual","Registration Year
Apr 2016, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
81,562 Kms, RTO
Medak District, Ownership
First Owner, Engine Displacement
1248 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1248 cc, Power
74 bhp, Transmission
Manual, Mileage
25.2 kmpl, Fuel
Diesel, Length
3840mm",hyderabad
2019 Honda WR-V i-VTEC VX,"₹7.95 Lakh
Compare","22,824 kms   •   Petrol   •   Manual","Registration Year
Dec 2019, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
22,824 Kms, RTO
Ranga reddy, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1199 cc, Ground Clearance
188mm, Power
88.7 bhp, Transmission
Manual, Drive Type
FWD, Mileage
17.5 kmpl",hyderabad
