Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe BSVI,"₹85 Lakh
Compare","22,000 kms   •   Petrol   •   Automatic","Registration Year
Dec 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
22,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
2996 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
2996 cc, Power
384.87 bhp, Transmission
Automatic, Fuel
Petrol, No. of Airbags
6",jaipur
2011 Hyundai i10 Magna,"₹2.30 Lakh
Compare","84,000 kms   •   Petrol   •   Manual","Registration Year
May 2011, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
84,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2011","Engine
1197 cc, Power
78.9 bhp, Transmission
Manual, Mileage
20.36 kmpl, Fuel
Petrol, Length
3585mm",jaipur
2017 Honda Amaze S Petrol BSIV,"₹4.10 Lakh
Compare","41,164 kms   •   Petrol   •   Manual","Registration Year
Feb 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
41,164 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1199 cc, Power
88.76 bhp, Transmission
Manual, Mileage
19.5 kmpl, Fuel
Petrol, No. of Airbags
2",jaipur
2017 Ford Ecosport 1.5 TDCi Titanium Plus BSIV,"₹6.75 Lakh
Compare","87,000 kms   •   Diesel   •   Manual","Registration Year
Dec 2017, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
87,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1498 cc, Ground Clearance
200mm, Power
98.59 bhp, Transmission
Manual, Drive Type
FWD, Mileage
22.77 kmpl",jaipur
2023 Audi A6 45 TFSI Technology WO Matrix BSVI,"₹57 Lakh
Compare","17,000 kms   •   Petrol   •   Automatic","Registration Year
Oct 2023, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
17,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1984 cc, Transmission
Automatic, Year of Manufacture
2023","Engine
1984 cc, Power
241.3 bhp, Transmission
Automatic, Mileage
14.11 kmpl, Fuel
Petrol, No. of Airbags
6",jaipur
2012 Toyota Etios G,"₹3.30 Lakh
Compare","65,000 kms   •   Petrol   •   Manual","Registration Year
Apr 2012, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
65,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1496 cc, Transmission
Manual, Year of Manufacture
2012","Engine
1496 cc, Power
88.73 bhp, Transmission
Manual, Mileage
17.6 kmpl, Fuel
Petrol",jaipur
2019 Maruti Ciaz Alpha 1.5,"₹7.40 Lakh
Compare","72,148 kms   •   Diesel   •   Manual","Registration Year
Apr 2019, Insurance
Zero Dep, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
72,148 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1498 cc, Power
93.87 bhp, Transmission
Manual, Mileage
26.82 kmpl, Fuel
Diesel, No. of Airbags
2",jaipur
2008 Honda CR-V 2.0 AT,"₹3 Lakh
Compare","85,000 kms   •   Petrol   •   Automatic","Registration Year
Jun 2008, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
85,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
1997 cc, Transmission
Automatic, Year of Manufacture
2008","Engine
1997 cc, Ground Clearance
185mm, Power
141.1 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
13.1 kmpl",jaipur
2018 Audi Q7 45 TDI Quattro Technology,"₹46 Lakh
Compare","94,000 kms   •   Diesel   •   Automatic","Registration Year
Mar 2018, Insurance
Comprehensive, Fuel Type
Diesel, Seats
7 Seats, Kms Driven
94,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
2967 cc, Transmission
Automatic, Year of Manufacture
2018","Engine
2967 cc, Ground Clearance
205 mm, Power
245 bhp, Seating Capacity
7, Drive Type
AWD, Mileage
14.75 kmpl",jaipur
2014 Volkswagen Vento Diesel Breeze,"₹4 Lakh
Compare","70,000 kms   •   Diesel   •   Manual","Registration Year
Sept 2014, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
70,000 Kms, RTO
Bikaner, Ownership
Second Owner, Engine Displacement
1598 cc, Transmission
Manual, Year of Manufacture
2014, Used cars in Jaipur in 4 Lakh to 5 Lakh, Used Diesel Sedan cars in Jaipur, Used Sedan cars in Jaipur, Used Volkswagen cars in Jaipur, 2014 model & newer Volkswagen cars","Engine
1598 cc, Transmission
Manual, Mileage
20.5 kmpl, Fuel
Diesel",jaipur
2020 Kia Seltos HTK Plus D,"₹11.50 Lakh
Compare","80,000 kms   •   Diesel   •   Manual","Registration Year
Jun 2020, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
80,000 Kms, RTO
Hanumangarh, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Manual, Year of Manufacture
2020","Engine
1493 cc, Power
113.43 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
20.8 kmpl, Fuel
Diesel",jaipur
2014 Hyundai Verna 1.6 SX,"₹4.60 Lakh
Compare","81,000 kms   •   Diesel   •   Manual","Registration Year
Jul 2014, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
81,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1582 cc, Transmission
Manual, Year of Manufacture
2014","Engine
1582 cc, Power
126.32 bhp, Transmission
Manual, Mileage
22.32 kmpl, Fuel
Diesel",jaipur
2021 Mercedes-Benz GLA 200 BSVI,"₹36 Lakh
Compare","17,000 kms   •   Petrol   •   Automatic","Registration Year
Dec 2021, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
17,000 Kms, RTO
Bikaner, Ownership
First Owner, Engine Displacement
1332 cc, Transmission
Automatic, Year of Manufacture
2021","Engine
1332 cc, Power
160.92 bhp, Transmission
Automatic, Top Speed
210 kmph, Drive Type
FWD, Fuel
Petrol, Seating Capacity
5",jaipur
2013 Audi A4 2.0 TDI,"₹13.50 Lakh
Compare","93,701 kms   •   Diesel   •   Automatic","Registration Year
Jan 2014, Insurance
Expired, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
93,701 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
1968 cc, Transmission
Automatic, Year of Manufacture
2013","Engine
1968 cc, Power
147.51 bhp, Transmission
Automatic, Mileage
16.55 kmpl, Fuel
Diesel",jaipur
2021 Tata Harrier XZ Plus BSVI,"₹17.50 Lakh
Compare","60,000 kms   •   Diesel   •   Manual","Registration Year
Mar 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
60,000 Kms, RTO
Jaipur, Ownership
Second Owner, Engine Displacement
1956 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1956 cc, Power
167.67 bhp, Seating Capacity
5, Mileage
16.35 kmpl, Fuel
Diesel, No. of Airbags
6",jaipur
2017 Volkswagen Vento 1.5 TDI Highline Plus,"₹6.99 Lakh
Compare","84,000 kms   •   Diesel   •   Manual","Registration Year
Feb 2018, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
84,000 Kms, RTO
Jaipur, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1498 cc, Power
108.49 bhp, Transmission
Manual, Mileage
20.64 kmpl, Fuel
Diesel",jaipur
2022 Mercedes-Benz GLC 200,"₹56 Lakh
Compare","21,000 kms   •   Petrol   •   Automatic","Registration Year
Aug 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
21,000 Kms, RTO
HR98, Ownership
First Owner, Engine Displacement
1991 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
1991 cc, Power
197 bhp, Transmission
Automatic, Top Speed
217 kmph, Drive Type
AWD, Fuel
Petrol",jaipur
