Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2024 Honda Elevate ZX CVT,"₹15 Lakh
Compare","4,100 kms   •   Petrol   •   Automatic","Registration Year
Apr 2024, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
4,100 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Automatic, Year of Manufacture
2024","Engine
1498 cc, Power
119 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
16.92 kmpl, Fuel
Petrol",kolkata
2022 MG Astor Savvy CVT BSVI,"₹12 Lakh
Compare","36,579 kms   •   Petrol   •   Automatic","Registration Year
Jun 2022, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
36,579 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Automatic, Year of Manufacture
2022","Engine
1498 cc, Power
108.49 bhp, Seating Capacity
5, Mileage
14.82 kmpl, Fuel
Petrol, No. of Airbags
6",kolkata
2014 Hyundai i20 Asta Option 1.4 CRDi,"₹3.99 Lakh
Compare","35,000 kms   •   Diesel   •   Manual","Registration Year
Dec 2014, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
35,000 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1396 cc, Transmission
Manual, Year of Manufacture
2014","Engine
1396 cc, Power
88.73 bhp, Transmission
Manual, Mileage
22.54 kmpl, Fuel
Diesel, Length
3985mm",kolkata
2014 Hyundai i20 Sportz 1.2,"₹3.97 Lakh
Compare","91,420 kms   •   Petrol   •   Manual","Registration Year
Jan 2015, Insurance
Third Party, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
91,420 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2014","Engine
1197 cc, Power
81.83 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, Length
3985mm",kolkata
2019 Hyundai i20 Sportz Plus BSIV,"₹5.72 Lakh
Compare","35,000 kms   •   Petrol   •   Manual","Registration Year
Dec 2019, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
35,000 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2019","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, No. of Airbags
2",kolkata
2017 Ford Ecosport 1.5 Petrol Titanium,"₹4.45 Lakh
Compare","39,006 kms   •   Petrol   •   Manual","Registration Year
Jun 2017, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
39,006 Kms, RTO
Howrah, Ownership
Second Owner, Engine Displacement
1496 cc, Transmission
Manual, Year of Manufacture
2017","Engine
1496 cc, Ground Clearance
200mm, Power
120.69 bhp, Transmission
Manual, Drive Type
FWD, Mileage
15.9 kmpl",kolkata
2023 Tata Nexon Smart Plus,"₹7.50 Lakh
Compare","5,000 kms   •   Petrol   •   Manual","Registration Year
Dec 2023, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
5,000 Kms, RTO
Kolkata, Ownership
Second Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2023","Engine
1199 cc, Ground Clearance
208 mm, Power
118.27 bhp, Transmission
Manual, Drive Type
FWD, Mileage
17.44 kmpl, Global NCAP Safety Rating
5 Star",kolkata
2019 Hyundai i20 Asta Option CVT,"₹5.75 Lakh
Compare","48,000 kms   •   Petrol   •   Automatic","Registration Year
Dec 2019, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
48,000 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Automatic, Year of Manufacture
2019","Engine
1197 cc, Power
81.86 bhp, Transmission
Automatic, Mileage
17.4 kmpl, Fuel
Petrol, No. of Airbags
6",kolkata
2022 Hyundai Grand i10 Nios Magna,"₹4.70 Lakh
Compare","50,123 kms   •   Petrol   •   Manual","Registration Year
Mar 2022, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
50,123 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
20.7 kmpl, Fuel
Petrol, No. of Airbags
2",kolkata
2022 Hyundai Grand i10 Nios Sportz,"₹6.20 Lakh
Compare","28,700 kms   •   Petrol   •   Manual","Registration Year
Mar 2022, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
28,700 Kms, RTO
Kolkata, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2022","Engine
1197 cc, Power
81.86 bhp, Transmission
Manual, Mileage
20.7 kmpl, Fuel
Petrol, No. of Airbags
2",kolkata
