Used_Car_Name,Price,KM_Driven,Overview,Specification,location
2018 Tata Tiago 1.2 Revotron XZ,"₹4.55 Lakh
Compare","45,000 kms   •   Petrol   •   Manual","Registration Year
Jul 2018, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
45,000 Kms, RTO
Pimpri chinchwad, Ownership
First Owner, Engine Displacement
1199 cc, Transmission
Manual, Year of Manufacture
2018","Engine
1199 cc, Power
84 bhp, Transmission
Manual, Mileage
23.84 kmpl, Fuel
Petrol, Length
3746mm",pune
2024 Hyundai Creta S (O) Diesel AT,"₹20.50 Lakh
Compare","3,252 kms   •   Diesel   •   Automatic","Registration Year
Feb 2024, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
3,252 Kms, RTO
Pune, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Automatic, Year of Manufacture
2024","Engine
1493 cc, Ground Clearance
190 mm, Power
114 bhp, Seating Capacity
5, Drive Type
FWD, Mileage
19.1 kmpl",pune
2013 Hyundai i10 Magna 1.1L,"₹2.95 Lakh
Compare","59,000 kms   •   Petrol   •   Manual","Registration Year
Jan 2014, Insurance
Third Party, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
59,000 Kms, RTO
Mumbai, Ownership
First Owner, Engine Displacement
1086 cc, Transmission
Manual, Year of Manufacture
2013","Engine
1086 cc, Power
68.05 bhp, Transmission
Manual, Mileage
19.81 kmpl, Fuel
Petrol, Length
3585mm",pune
2021 Hyundai Venue SX Diesel,"₹9.85 Lakh
Compare","12,000 kms   •   Diesel   •   Manual","Registration Year
Oct 2021, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
12,000 Kms, RTO
Pimpri chinchwad, Ownership
First Owner, Engine Displacement
1493 cc, Transmission
Manual, Year of Manufacture
2021","Engine
1493 cc, Power
98.6 bhp, Transmission
Manual, Drive Type
FWD, Mileage
23.7 kmpl, Fuel
Diesel",pune
2016 Maruti Swift Dzire VXI,"₹5.45 Lakh
Compare","51,000 kms   •   Petrol   •   Manual","Registration Year
Dec 2016, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
51,000 Kms, RTO
Pune, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1197 cc, Power
83.14 bhp, Transmission
Manual, Mileage
20.85 kmpl, Fuel
Petrol",pune
2016 Ford Figo 1.5D Titanium MT,"₹3.85 Lakh
Compare","38,000 kms   •   Diesel   •   Manual","Registration Year
Feb 2016, Insurance
Third Party, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
38,000 Kms, RTO
Mumbai, Ownership
First Owner, Engine Displacement
1498 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1498 cc, Power
99 bhp, Transmission
Manual, Mileage
25.83 kmpl, Fuel
Diesel, Length
3886mm",pune
2014 Datsun GO T BSIV,"₹1.79 Lakh
Compare","43,000 kms   •   Petrol   •   Manual","Registration Year
Feb 2015, Insurance
Third Party, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
43,000 Kms, RTO
Pune, Ownership
Third Owner, Engine Displacement
1198 cc, Transmission
Manual, Year of Manufacture
2014","Engine
1198 cc, Power
67 bhp, Transmission
Manual, Mileage
20.63 kmpl, Fuel
Petrol, Length
3785mm",pune
2015 Renault Duster 110PS Diesel RxZ,"₹4.95 Lakh
Compare","68,000 kms   •   Diesel   •   Manual","Registration Year
May 2015, Insurance
Comprehensive, Fuel Type
Diesel, Seats
5 Seats, Kms Driven
68,000 Kms, RTO
Pune, Ownership
Second Owner, Engine Displacement
1461 cc, Transmission
Manual, Year of Manufacture
2015","Engine
1461 cc, Ground Clearance
205mm, Power
108.45 bhp, Transmission
Manual, Drive Type
FWD, Mileage
19.01 kmpl",pune
2013 Ford Ecosport 1.0 Ecoboost Titanium,"₹4 Lakh
Compare","83,000 kms   •   Petrol   •   Manual","Registration Year
Nov 2016, Insurance
Expired, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
83,000 Kms, RTO
Pune, Ownership
Second Owner, Engine Displacement
999 cc, Transmission
Manual, Year of Manufacture
2013","Engine
999 cc, Ground Clearance
200mm, Power
123.37 bhp, Transmission
Manual, Drive Type
FWD, Mileage
18.88 kmpl",pune
2016 Hyundai i20 Magna 1.2,"₹4.85 Lakh
Compare","79,000 kms   •   Petrol   •   Manual","Registration Year
Apr 2016, Insurance
Comprehensive, Fuel Type
Petrol, Seats
5 Seats, Kms Driven
79,000 Kms, RTO
Pune, Ownership
First Owner, Engine Displacement
1197 cc, Transmission
Manual, Year of Manufacture
2016","Engine
1197 cc, Power
81.83 bhp, Transmission
Manual, Mileage
18.6 kmpl, Fuel
Petrol, Length
3985mm",pune
